Number,Name,Date,Hour,RecordType,Hurclass,Lat,Lo,Maxwind,Minpress,
AL011851,UNNAMED,18510625,0,  , HU,28,94.8,80,-999,
AL011851,UNNAMED,18510625,600,  , HU,28,95.4,80,-999,
AL011851,UNNAMED,18510625,1200,  , HU,28,96,80,-999,
AL011851,UNNAMED,18510625,1800,  , HU,28.1,96.5,80,-999,
AL011851,UNNAMED,18510625,2100, L, HU,28.2,96.8,80,-999,
AL011851,UNNAMED,18510626,0,  , HU,28.2,97,70,-999,
AL011851,UNNAMED,18510626,600,  , TS,28.3,97.6,60,-999,
AL011851,UNNAMED,18510626,1200,  , TS,28.4,98.3,60,-999,
AL011851,UNNAMED,18510626,1800,  , TS,28.6,98.9,50,-999,
AL011851,UNNAMED,18510627,0,  , TS,29,99.4,50,-999,
AL011851,UNNAMED,18510627,600,  , TS,29.5,99.8,40,-999,
AL011851,UNNAMED,18510627,1200,  , TS,30,100,40,-999,
AL011851,UNNAMED,18510627,1800,  , TS,30.5,100.1,40,-999,
AL011851,UNNAMED,18510628,0,  , TS,31,100.2,40,-999,
AL021851,UNNAMED,18510705,1200,  , HU,22.2,97.6,80,-999,
AL031851,UNNAMED,18510710,1200,  , TS,12,60,50,-999,
AL041851,UNNAMED,18510816,0,  , TS,13.4,48,40,-999,
AL041851,UNNAMED,18510816,600,  , TS,13.7,49.5,40,-999,
AL041851,UNNAMED,18510816,1200,  , TS,14,51,50,-999,
AL041851,UNNAMED,18510816,1800,  , TS,14.4,52.8,50,-999,
AL041851,UNNAMED,18510817,0,  , TS,14.9,54.6,60,-999,
AL041851,UNNAMED,18510817,600,  , TS,15.4,56.5,60,-999,
AL041851,UNNAMED,18510817,1200,  , HU,15.9,58.5,70,-999,
AL041851,UNNAMED,18510817,1800,  , HU,16.1,60.4,70,-999,
AL041851,UNNAMED,18510818,0,  , HU,16.6,62.5,80,-999,
AL041851,UNNAMED,18510818,600,  , HU,16.9,64.1,80,-999,
AL041851,UNNAMED,18510818,1200,  , HU,17.2,66,90,-999,
AL041851,UNNAMED,18510818,1800,  , HU,17.6,67.6,90,-999,
AL041851,UNNAMED,18510819,0,  , HU,18,69.3,90,-999,
AL041851,UNNAMED,18510819,600,  , HU,18.4,71.1,70,-999,
AL041851,UNNAMED,18510819,1200,  , TS,18.9,72.6,60,-999,
AL041851,UNNAMED,18510819,1800,  , TS,19.4,74.3,60,-999,
AL041851,UNNAMED,18510820,0,  , HU,19.9,75.9,70,-999,
AL041851,UNNAMED,18510820,600,  , HU,20.5,77.6,70,-999,
AL041851,UNNAMED,18510820,1200,  , HU,21.2,79,70,-999,
AL041851,UNNAMED,18510820,1800,  , HU,21.9,80.4,70,-999,
AL041851,UNNAMED,18510821,0,  , TS,22.6,81.4,60,-999,
AL041851,UNNAMED,18510821,600,  , TS,23.2,82.5,60,-999,
AL041851,UNNAMED,18510821,1200,  , HU,23.9,83.6,70,-999,
AL041851,UNNAMED,18510821,1800,  , HU,24.4,84.3,70,-999,
AL041851,UNNAMED,18510822,0,  , HU,25,84.9,80,-999,
AL041851,UNNAMED,18510822,600,  , HU,25.6,85.5,80,-999,
AL041851,UNNAMED,18510822,1200,  , HU,26.2,86,90,-999,
AL041851,UNNAMED,18510822,1800,  , HU,26.8,86.3,90,-999,
AL041851,UNNAMED,18510823,0,  , HU,27.4,86.5,100,-999,
AL041851,UNNAMED,18510823,600,  , HU,28,86.6,100,-999,
AL041851,UNNAMED,18510823,1200,  , HU,28.5,86.6,100,-999,
AL041851,UNNAMED,18510823,1800,  , HU,29.6,86.1,100,-999,
AL041851,UNNAMED,18510823,2100, L, HU,30.1,85.7,100,-999,
AL041851,UNNAMED,18510824,0,  , HU,30.7,85.1,90,-999,
AL041851,UNNAMED,18510824,600,  , HU,31.6,84.1,70,-999,
AL041851,UNNAMED,18510824,1200,  , TS,32.5,83,60,-999,
AL041851,UNNAMED,18510824,1800,  , TS,33.4,81.4,50,-999,
AL041851,UNNAMED,18510825,0,  , TS,34,80,40,-999,
AL041851,UNNAMED,18510825,600,  , TS,34.8,78.6,40,-999,
AL041851,UNNAMED,18510825,1200,  , TS,35.8,77,40,-999,
AL041851,UNNAMED,18510825,1800,  , TS,36.8,75.1,40,-999,
AL041851,UNNAMED,18510826,0,  , TS,37.8,73.6,40,-999,
AL041851,UNNAMED,18510826,600,  , TS,38.9,71.8,40,-999,
AL041851,UNNAMED,18510826,1200,  , TS,40,70,40,-999,
AL041851,UNNAMED,18510826,1800,  , TS,41.3,66.8,40,-999,
AL041851,UNNAMED,18510827,0,  , TS,42.8,63.3,40,-999,
AL041851,UNNAMED,18510827,600,  , TS,44.5,60.2,40,-999,
AL041851,UNNAMED,18510827,1200,  , TS,46.4,57.2,40,-999,
AL041851,UNNAMED,18510827,1800,  , TS,48.5,54.2,40,-999,
AL051851,UNNAMED,18510913,0,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510913,600,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510913,1200,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510913,1800,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510914,0,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510914,600,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510914,1200,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510914,1800,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510915,0,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510915,600,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510915,1200,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510915,1800,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510916,0,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510916,600,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510916,1200,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510916,1800,  , TS,32.5,73.5,50,-999,
AL061851,UNNAMED,18511016,0,  , TS,28.7,78,40,-999,
AL061851,UNNAMED,18511016,600,  , TS,29.1,77.8,40,-999,
AL061851,UNNAMED,18511016,1200,  , TS,29.5,77.5,50,-999,
AL061851,UNNAMED,18511016,1800,  , TS,30.1,77.1,50,-999,
AL061851,UNNAMED,18511017,0,  , TS,30.7,76.6,60,-999,
AL061851,UNNAMED,18511017,600,  , TS,31.2,76.3,60,-999,
AL061851,UNNAMED,18511017,1200,  , TS,31.6,75.9,60,-999,
AL061851,UNNAMED,18511017,1800,  , TS,32,75.5,60,-999,
AL061851,UNNAMED,18511018,0,  , TS,32.7,74.9,60,-999,
AL061851,UNNAMED,18511018,600,  , TS,33.3,74.3,60,-999,
AL061851,UNNAMED,18511018,1200,  , TS,34,73.8,60,-999,
AL061851,UNNAMED,18511018,1800,  , TS,35.3,73,60,-999,
AL061851,UNNAMED,18511019,0,  , TS,37,72.6,50,-999,
AL061851,UNNAMED,18511019,600,  , TS,38.5,72.1,50,-999,
AL061851,UNNAMED,18511019,1200,  , TS,40.2,71.8,50,-999,
AL061851,UNNAMED,18511019,1500, L, TS,41.1,71.7,50,-999,
AL061851,UNNAMED,18511019,1800,  , TS,42,71.6,40,-999,
AL011852,UNNAMED,18520819,0,  , TS,20.5,67.1,60,-999,
AL011852,UNNAMED,18520819,600,  , TS,20.7,68,60,-999,
AL011852,UNNAMED,18520819,1200,  , TS,20.9,68.8,60,-999,
AL011852,UNNAMED,18520819,1800,  , TS,21.1,69.6,60,-999,
AL011852,UNNAMED,18520820,0,  , HU,21.2,70.6,70,-999,
AL011852,UNNAMED,18520820,600,  , HU,21.5,71.9,70,-999,
AL011852,UNNAMED,18520820,1200,  , HU,21.7,73,70,-999,
AL011852,UNNAMED,18520820,1800,  , HU,21.9,74,70,-999,
AL011852,UNNAMED,18520821,0,  , HU,22.1,74.9,80,-999,
AL011852,UNNAMED,18520821,600,  , HU,22.2,76.1,80,-999,
AL011852,UNNAMED,18520821,1200,  , HU,22.6,77.1,80,-999,
AL011852,UNNAMED,18520821,1800,  , HU,22.9,78.1,80,-999,
AL011852,UNNAMED,18520822,0,  , HU,23.2,79.3,90,-999,
AL011852,UNNAMED,18520822,600,  , HU,23.5,80.1,90,-999,
AL011852,UNNAMED,18520822,1200,  , HU,23.8,81.1,90,-999,
AL011852,UNNAMED,18520822,1800,  , HU,24.2,82.1,90,-999,
AL011852,UNNAMED,18520823,0,  , HU,24.7,83.1,90,-999,
AL011852,UNNAMED,18520823,600,  , HU,25.2,83.9,90,-999,
AL011852,UNNAMED,18520823,1200,  , HU,25.7,84.6,90,-999,
AL011852,UNNAMED,18520823,1800,  , HU,26.2,85.3,90,-999,
AL011852,UNNAMED,18520824,0,  , HU,26.7,86,100,-999,
AL011852,UNNAMED,18520824,600,  , HU,27.2,86.6,100,-999,
AL011852,UNNAMED,18520824,1200,  , HU,27.7,87.1,100,-999,
AL011852,UNNAMED,18520824,1800,  , HU,28.2,87.5,100,-999,
AL011852,UNNAMED,18520825,0,  , HU,28.6,87.8,100,-999,
AL011852,UNNAMED,18520825,600,  , HU,28.8,88,100,-999,
AL011852,UNNAMED,18520825,1200,  , HU,29.1,88.2,100,-999,
AL011852,UNNAMED,18520825,1800,  , HU,29.4,88.4,100,-999,
AL011852,UNNAMED,18520826,0,  , HU,29.8,88.6,100,-999,
AL011852,UNNAMED,18520826,600, L, HU,30.2,88.6,100,961,
AL011852,UNNAMED,18520826,1200,  , HU,30.6,88.5,90,-999,
AL011852,UNNAMED,18520826,1800,  , HU,31.2,88.1,70,-999,
AL011852,UNNAMED,18520827,0,  , TS,31.8,87.4,50,-999,
AL011852,UNNAMED,18520827,600,  , TS,32.3,86.3,40,-999,
AL011852,UNNAMED,18520827,1200,  , TS,32.8,84.8,40,-999,
AL011852,UNNAMED,18520827,1800,  , TS,33.2,82.8,40,-999,
AL011852,UNNAMED,18520828,0,  , TS,33.5,80.5,40,-999,
AL011852,UNNAMED,18520828,600,  , TS,33.8,78.2,40,-999,
AL011852,UNNAMED,18520828,1200,  , TS,34,76,40,-999,
AL011852,UNNAMED,18520828,1800,  , TS,34.4,74.2,40,-999,
AL011852,UNNAMED,18520829,0,  , TS,35.2,72.8,50,-999,
AL011852,UNNAMED,18520829,600,  , TS,36.4,71.8,50,-999,
AL011852,UNNAMED,18520829,1200,  , TS,38,70.8,50,-999,
AL011852,UNNAMED,18520829,1800,  , TS,39.6,69.6,50,-999,
AL011852,UNNAMED,18520830,0,  , TS,41,68,50,-999,
AL021852,UNNAMED,18520905,0,  , HU,17,64.1,70,-999,
AL021852,UNNAMED,18520905,600,  , HU,17.4,65.1,70,-999,
AL021852,UNNAMED,18520905,1200,  , HU,17.7,66.1,70,-999,
AL021852,UNNAMED,18520905,1800,  , TS,18.2,67.1,60,-999,
AL021852,UNNAMED,18520906,0,  , TS,18.6,68.8,60,-999,
AL021852,UNNAMED,18520906,600,  , TS,19.2,70.1,50,-999,
AL021852,UNNAMED,18520906,1200,  , TS,19.5,71.4,40,-999,
AL021852,UNNAMED,18520906,1800,  , TS,19.7,72.5,40,-999,
AL031852,UNNAMED,18520909,0,  , HU,26.4,90.4,70,-999,
AL031852,UNNAMED,18520909,600,  , HU,26.5,89.6,70,-999,
AL031852,UNNAMED,18520909,1200,  , HU,26.6,88.8,70,-999,
AL031852,UNNAMED,18520909,1800,  , HU,26.6,88.1,70,-999,
AL031852,UNNAMED,18520910,0,  , HU,26.8,87.4,70,-999,
AL031852,UNNAMED,18520910,600,  , HU,26.9,86.6,70,-999,
AL031852,UNNAMED,18520910,1200,  , HU,27.1,86.1,70,-999,
AL031852,UNNAMED,18520910,1800,  , HU,27.3,85.6,70,-999,
AL031852,UNNAMED,18520911,0,  , HU,27.5,85.1,70,-999,
AL031852,UNNAMED,18520911,600,  , HU,27.7,84.6,70,-999,
AL031852,UNNAMED,18520911,1200,  , HU,27.8,84,70,-999,
AL031852,UNNAMED,18520911,1800,  , HU,27.9,83.4,70,-999,
AL031852,UNNAMED,18520912,0, L, HU,28,82.8,70,-999,
AL031852,UNNAMED,18520912,600,  , TS,28.1,82.2,60,-999,
AL031852,UNNAMED,18520912,1200,  , TS,28.2,81.5,50,-999,
AL031852,UNNAMED,18520912,1800,  , TS,28.5,80.5,50,-999,
AL031852,UNNAMED,18520913,0,  , TS,29.2,79,60,-999,
AL031852,UNNAMED,18520913,600,  , HU,30.4,77,70,-999,
AL031852,UNNAMED,18520913,1200,  , HU,32,74.5,70,-999,
AL031852,UNNAMED,18520913,1800,  , HU,34,71.5,70,-999,
AL041852,UNNAMED,18520922,0,  , TS,16.1,58.5,50,-999,
AL041852,UNNAMED,18520922,600,  , TS,16.4,59.1,50,-999,
AL041852,UNNAMED,18520922,1200,  , TS,16.7,59.7,50,-999,
AL041852,UNNAMED,18520922,1800,  , TS,17,60.3,50,-999,
AL041852,UNNAMED,18520923,0,  , TS,17.4,61.2,60,-999,
AL041852,UNNAMED,18520923,600,  , TS,17.7,62.2,60,-999,
AL041852,UNNAMED,18520923,1200,  , HU,18.1,63.1,70,-999,
AL041852,UNNAMED,18520923,1800,  , HU,18.4,63.7,70,-999,
AL041852,UNNAMED,18520924,0,  , HU,18.7,64.3,70,-999,
AL041852,UNNAMED,18520924,600,  , HU,18.9,65,70,-999,
AL041852,UNNAMED,18520924,1200,  , HU,19.1,65.8,70,-999,
AL041852,UNNAMED,18520924,1800,  , HU,19.2,66.6,70,-999,
AL041852,UNNAMED,18520925,0,  , HU,19.5,67.4,80,-999,
AL041852,UNNAMED,18520925,600,  , HU,19.7,68.1,80,-999,
AL041852,UNNAMED,18520925,1200,  , HU,19.9,68.8,80,-999,
AL041852,UNNAMED,18520925,1800,  , HU,20,69.6,80,-999,
AL041852,UNNAMED,18520926,0,  , HU,20.1,70.3,80,-999,
AL041852,UNNAMED,18520926,600,  , HU,20.4,70.9,80,-999,
AL041852,UNNAMED,18520926,1200,  , HU,20.7,71.6,80,-999,
AL041852,UNNAMED,18520926,1800,  , HU,21,72.1,80,-999,
AL041852,UNNAMED,18520927,0,  , HU,21.4,73,80,-999,
AL041852,UNNAMED,18520927,600,  , HU,21.9,73.6,80,-999,
AL041852,UNNAMED,18520927,1200,  , HU,22.5,74,80,-999,
AL041852,UNNAMED,18520927,1800,  , HU,23.2,74.4,80,-999,
AL041852,UNNAMED,18520928,0,  , HU,23.9,74.6,80,-999,
AL041852,UNNAMED,18520928,600,  , HU,24.6,74.6,80,-999,
AL041852,UNNAMED,18520928,1200,  , HU,25.4,74.5,80,-999,
AL041852,UNNAMED,18520928,1800,  , HU,26.5,74,80,-999,
AL041852,UNNAMED,18520929,0,  , HU,27.4,73.5,80,-999,
AL041852,UNNAMED,18520929,600,  , HU,28.2,72.9,80,-999,
AL041852,UNNAMED,18520929,1200,  , HU,29,72.3,80,-999,
AL041852,UNNAMED,18520929,1800,  , HU,30.2,71.5,80,-999,
AL041852,UNNAMED,18520930,0,  , HU,31.6,70.5,70,-999,
AL041852,UNNAMED,18520930,600,  , HU,32.7,69.6,70,-999,
AL041852,UNNAMED,18520930,1200,  , HU,33.8,69.1,70,-999,
AL041852,UNNAMED,18520930,1800,  , HU,34.9,68.6,70,-999,
AL051852,UNNAMED,18521006,0,  , HU,17,73.8,90,-999,
AL051852,UNNAMED,18521006,600,  , HU,17.1,75,90,-999,
AL051852,UNNAMED,18521006,1200,  , HU,17.2,76.3,90,-999,
AL051852,UNNAMED,18521006,1800,  , HU,17.2,77.8,90,-999,
AL051852,UNNAMED,18521007,0,  , HU,17.7,79.6,90,-999,
AL051852,UNNAMED,18521007,600,  , HU,18.2,81.5,90,-999,
AL051852,UNNAMED,18521007,1200,  , HU,18.7,83.1,90,-999,
AL051852,UNNAMED,18521007,1800,  , HU,19.5,84.4,90,-999,
AL051852,UNNAMED,18521008,0,  , HU,20.4,85.5,90,-999,
AL051852,UNNAMED,18521008,600,  , HU,21.2,86.4,90,-999,
AL051852,UNNAMED,18521008,1200,  , HU,22.4,86.9,90,-999,
AL051852,UNNAMED,18521008,1800,  , HU,24,86.8,90,-999,
AL051852,UNNAMED,18521009,0,  , HU,25.6,86.4,90,-999,
AL051852,UNNAMED,18521009,600,  , HU,26.9,85.9,90,-999,
AL051852,UNNAMED,18521009,1200,  , HU,28,85.5,90,-999,
AL051852,UNNAMED,18521009,1800,  , HU,29.2,84.9,90,-999,
AL051852,UNNAMED,18521009,2100, L, HU,29.9,84.4,90,-999,
AL051852,UNNAMED,18521010,0,  , HU,30.5,83.9,80,-999,
AL051852,UNNAMED,18521010,600,  , TS,31.8,82.8,60,-999,
AL051852,UNNAMED,18521010,1200,  , TS,33,81.1,50,-999,
AL051852,UNNAMED,18521010,1800,  , TS,34,79.5,50,-999,
AL051852,UNNAMED,18521011,0,  , TS,35,77,50,-999,
AL051852,UNNAMED,18521011,600,  , TS,36,74,50,-999,
AL051852,UNNAMED,18521011,1200,  , TS,38,70,60,-999,
AL051852,UNNAMED,18521011,1800,  , TS,40,66,60,-999,
AL011853,UNNAMED,18530805,1200,  , TS,32.5,69,50,-999,
AL021853,UNNAMED,18530810,1200,  , TS,12,60,40,-999,
AL031853,UNNAMED,18530830,0,  , TS,12.1,23.2,40,-999,
AL031853,UNNAMED,18530830,600,  , TS,12.3,25.1,40,-999,
AL031853,UNNAMED,18530830,1200,  , TS,12.5,27,40,-999,
AL031853,UNNAMED,18530830,1800,  , TS,12.8,28.9,40,-999,
AL031853,UNNAMED,18530831,0,  , TS,13,30.9,50,-999,
AL031853,UNNAMED,18530831,600,  , TS,13.3,33,50,-999,
AL031853,UNNAMED,18530831,1200,  , TS,13.6,35,60,-999,
AL031853,UNNAMED,18530831,1800,  , TS,13.9,36.8,60,-999,
AL031853,UNNAMED,18530901,0,  , HU,14.2,38.5,70,-999,
AL031853,UNNAMED,18530901,600,  , HU,14.6,40.5,70,-999,
AL031853,UNNAMED,18530901,1200,  , HU,14.9,42.3,80,-999,
AL031853,UNNAMED,18530901,1800,  , HU,15.2,43.9,80,-999,
AL031853,UNNAMED,18530902,0,  , HU,15.7,45.7,90,-999,
AL031853,UNNAMED,18530902,600,  , HU,16.2,47.3,90,-999,
AL031853,UNNAMED,18530902,1200,  , HU,16.7,49,100,-999,
AL031853,UNNAMED,18530902,1800,  , HU,17.4,51,110,-999,
AL031853,UNNAMED,18530903,0,  , HU,18.2,52.8,120,-999,
AL031853,UNNAMED,18530903,600,  , HU,19.1,54.6,130,-999,
AL031853,UNNAMED,18530903,1200,  , HU,19.7,56.2,130,924,
AL031853,UNNAMED,18530903,1800,  , HU,20.7,58,130,-999,
AL031853,UNNAMED,18530904,0,  , HU,21.2,59.9,120,-999,
AL031853,UNNAMED,18530904,600,  , HU,22,61.8,120,-999,
AL031853,UNNAMED,18530904,1200,  , HU,22.7,63.7,120,-999,
AL031853,UNNAMED,18530904,1800,  , HU,23.4,65.3,120,-999,
AL031853,UNNAMED,18530905,0,  , HU,24.2,67.1,120,-999,
AL031853,UNNAMED,18530905,600,  , HU,25,68.6,120,-999,
AL031853,UNNAMED,18530905,1200,  , HU,25.8,70.1,120,-999,
AL031853,UNNAMED,18530905,1800,  , HU,26.6,71.1,120,-999,
AL031853,UNNAMED,18530906,0,  , HU,27.3,72,120,-999,
AL031853,UNNAMED,18530906,600,  , HU,28.2,72.9,120,-999,
AL031853,UNNAMED,18530906,1200,  , HU,29.1,73.5,120,-999,
AL031853,UNNAMED,18530906,1800,  , HU,30.2,74,120,-999,
AL031853,UNNAMED,18530907,0,  , HU,31.2,74.3,110,-999,
AL031853,UNNAMED,18530907,600,  , HU,32.5,74.1,110,-999,
AL031853,UNNAMED,18530907,1200,  , HU,33.7,73.9,100,-999,
AL031853,UNNAMED,18530907,1800,  , HU,34.9,72.9,100,-999,
AL031853,UNNAMED,18530908,0,  , HU,36,71.6,100,-999,
AL031853,UNNAMED,18530908,600,  , HU,36.8,69.9,100,-999,
AL031853,UNNAMED,18530908,1200,  , HU,37.5,67.9,100,-999,
AL031853,UNNAMED,18530908,1800,  , HU,38.2,65.4,100,-999,
AL031853,UNNAMED,18530909,0,  , HU,39,62.3,100,-999,
AL031853,UNNAMED,18530909,600,  , HU,39.9,59.4,90,-999,
AL031853,UNNAMED,18530909,1200,  , HU,40.8,56.8,80,-999,
AL031853,UNNAMED,18530909,1800,  , HU,41.9,53.4,70,-999,
AL031853,UNNAMED,18530910,0,  , HU,42.9,49.5,70,-999,
AL031853,UNNAMED,18530910,600,  , HU,43.9,45.5,70,-999,
AL031853,UNNAMED,18530910,1200,  , HU,45,41.2,70,-999,
AL031853,UNNAMED,18530910,1800,  , HU,46.2,36.2,70,-999,
AL041853,UNNAMED,18530908,0,  , HU,37,53,100,-999,
AL041853,UNNAMED,18530908,600,  , HU,38,51,100,-999,
AL041853,UNNAMED,18530908,1200,  , HU,39,49,100,-999,
AL041853,UNNAMED,18530908,1800,  , HU,40,46.8,100,-999,
AL041853,UNNAMED,18530909,0,  , HU,41.3,44,100,-999,
AL041853,UNNAMED,18530909,600,  , HU,42.5,41.5,100,-999,
AL041853,UNNAMED,18530909,1200,  , HU,43.4,39.3,100,-999,
AL041853,UNNAMED,18530909,1800,  , HU,44.5,37.2,100,-999,
AL041853,UNNAMED,18530910,0,  , HU,45.5,34.7,100,-999,
AL041853,UNNAMED,18530910,600,  , HU,46.3,32.3,100,-999,
AL041853,UNNAMED,18530910,1200,  , HU,47,30,90,-999,
AL041853,UNNAMED,18530910,1800,  , HU,48,27.5,90,-999,
AL051853,UNNAMED,18530921,1200,  , TS,20,95,50,-999,
AL061853,UNNAMED,18530926,0,  , TS,25.8,62,50,-999,
AL061853,UNNAMED,18530926,600,  , TS,27.4,62.5,50,-999,
AL061853,UNNAMED,18530926,1200,  , TS,29,62.9,50,-999,
AL061853,UNNAMED,18530926,1800,  , TS,30.6,63.2,50,-999,
AL061853,UNNAMED,18530927,0,  , TS,32.9,62.6,60,-999,
AL061853,UNNAMED,18530927,600,  , TS,34.8,61.3,60,-999,
AL061853,UNNAMED,18530927,1200,  , HU,36,59.8,70,-999,
AL061853,UNNAMED,18530927,1800,  , HU,36.7,58.4,70,-999,
AL061853,UNNAMED,18530928,0,  , HU,36.8,57.4,70,-999,
AL061853,UNNAMED,18530928,600,  , HU,36.3,56.7,70,-999,
AL061853,UNNAMED,18530928,1200,  , HU,35.5,56.9,70,-999,
AL061853,UNNAMED,18530928,1800,  , HU,35.5,57,70,-999,
AL061853,UNNAMED,18530929,0,  , HU,35.4,57.2,70,-999,
AL061853,UNNAMED,18530929,600,  , HU,35.3,57.4,70,-999,
AL061853,UNNAMED,18530929,1200,  , HU,35.3,57.7,70,-999,
AL061853,UNNAMED,18530929,1800,  , HU,35.4,57.9,70,-999,
AL061853,UNNAMED,18530930,0,  , HU,35.5,58.1,70,-999,
AL061853,UNNAMED,18530930,600,  , HU,35.5,58.2,70,-999,
AL061853,UNNAMED,18530930,1200,  , HU,35.8,58.3,70,-999,
AL061853,UNNAMED,18530930,1800,  , HU,36.3,58,70,-999,
AL061853,UNNAMED,18531001,0,  , HU,37,57.5,70,-999,
AL061853,UNNAMED,18531001,600,  , HU,38,56.8,70,-999,
AL071853,UNNAMED,18530928,1200,  , TS,15,37,50,-999,
AL081853,UNNAMED,18531019,0,  , HU,27.5,78.5,70,-999,
AL081853,UNNAMED,18531019,600,  , HU,28,78.9,70,-999,
AL081853,UNNAMED,18531019,1200,  , HU,28.5,79.3,80,-999,
AL081853,UNNAMED,18531019,1800,  , HU,28.9,79.6,80,-999,
AL081853,UNNAMED,18531020,0,  , HU,29.3,79.9,80,-999,
AL081853,UNNAMED,18531020,600,  , HU,29.7,80.2,80,-999,
AL081853,UNNAMED,18531020,1200,  , HU,30,80.5,90,-999,
AL081853,UNNAMED,18531020,1800,  , HU,30.3,80.7,90,-999,
AL081853,UNNAMED,18531021,0,  , HU,30.6,80.9,90,-999,
AL081853,UNNAMED,18531021,600,  , HU,30.9,80.9,90,-999,
AL081853,UNNAMED,18531021,1200,  , HU,31.3,80.6,80,-999,
AL081853,UNNAMED,18531021,1800,  , HU,31.7,80.1,80,-999,
AL081853,UNNAMED,18531022,0,  , HU,32.1,79.4,80,-999,
AL081853,UNNAMED,18531022,600,  , HU,32.5,78.5,80,-999,
AL011854,UNNAMED,18540625,0,  , TS,26,92.5,60,-999,
AL011854,UNNAMED,18540625,600,  , TS,26,93,60,-999,
AL011854,UNNAMED,18540625,1200,  , HU,26,93.5,70,-999,
AL011854,UNNAMED,18540625,1800,  , HU,26,94,70,-999,
AL011854,UNNAMED,18540626,0,  , HU,26,94.7,70,-999,
AL011854,UNNAMED,18540626,600,  , HU,26.1,95.7,70,-999,
AL011854,UNNAMED,18540626,1200, L, HU,26.2,97,70,-999,
AL011854,UNNAMED,18540626,1800,  , TS,26.4,98.5,50,-999,
AL011854,UNNAMED,18540627,0,  , TS,26.8,100,40,-999,
AL011854,UNNAMED,18540627,600,  , TS,27.4,101.5,40,-999,
AL011854,UNNAMED,18540627,1200,  , TS,28,103,40,-999,
AL021854,UNNAMED,18540823,1200,  , TS,33,55,60,-999,
AL031854,UNNAMED,18540907,0,  , HU,26.4,76.6,110,-999,
AL031854,UNNAMED,18540907,600,  , HU,27.2,77.6,110,-999,
AL031854,UNNAMED,18540907,1200,  , HU,28,78.6,110,938,
AL031854,UNNAMED,18540907,1800,  , HU,28.8,79.6,110,-999,
AL031854,UNNAMED,18540908,0,  , HU,29.6,80.3,110,-999,
AL031854,UNNAMED,18540908,600,  , HU,30.4,80.6,110,-999,
AL031854,UNNAMED,18540908,1200,  , HU,31.1,80.9,100,-999,
AL031854,UNNAMED,18540908,1800,  , HU,31.6,81.1,100,950,
AL031854,UNNAMED,18540908,2000, L, HU,31.7,81.1,100,950,
AL031854,UNNAMED,18540909,0,  , HU,32,81.3,80,-999,
AL031854,UNNAMED,18540909,600,  , HU,32.5,81.5,70,-999,
AL031854,UNNAMED,18540909,1200,  , TS,33.2,81.5,60,-999,
AL031854,UNNAMED,18540909,1800,  , TS,34.3,80.5,50,-999,
AL031854,UNNAMED,18540910,0,  , TS,35.5,78.1,40,-999,
AL031854,UNNAMED,18540910,600,  , TS,36.8,75.9,40,-999,
AL031854,UNNAMED,18540910,1200,  , TS,37.8,74,50,-999,
AL031854,UNNAMED,18540910,1800,  , TS,38.4,71.9,60,-999,
AL031854,UNNAMED,18540911,0,  , HU,38.8,69.5,70,-999,
AL031854,UNNAMED,18540911,600,  , HU,39,67.3,80,-999,
AL031854,UNNAMED,18540911,1200,  , HU,39.4,65,90,-999,
AL031854,UNNAMED,18540911,1800,  , HU,39.5,61.8,90,-999,
AL031854,UNNAMED,18540912,0,  , HU,39.8,58.3,90,-999,
AL031854,UNNAMED,18540912,600,  , HU,40,55.1,90,-999,
AL031854,UNNAMED,18540912,1200,  , HU,40,52,80,-999,
AL031854,UNNAMED,18540912,1800,  , HU,40.2,48,80,-999,
AL041854,UNNAMED,18540918,0,  , HU,28.2,93.6,90,-999,
AL041854,UNNAMED,18540918,600,  , HU,28.4,94.1,90,-999,
AL041854,UNNAMED,18540918,1200,  , HU,28.6,94.6,90,-999,
AL041854,UNNAMED,18540918,1800,  , HU,28.8,95.1,90,-999,
AL041854,UNNAMED,18540918,2100, L, HU,28.9,95.3,90,-999,
AL041854,UNNAMED,18540919,0,  , HU,29,95.6,80,-999,
AL041854,UNNAMED,18540919,600,  , HU,29.2,96.1,70,-999,
AL041854,UNNAMED,18540919,1200,  , TS,29.4,96.5,60,-999,
AL041854,UNNAMED,18540919,1800,  , TS,29.7,96.6,60,-999,
AL041854,UNNAMED,18540920,0,  , TS,30,96.4,50,-999,
